0.500111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.500333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.500556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.500778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.501 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.501222 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.501444 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.501667 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.501889 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.502111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.502333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.502556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.502778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.503 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.503222 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.503444 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.503667 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.503889 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.504111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.504333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.504556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.504778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.505 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.505222 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.505444 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.505667 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.505889 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.506111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.506333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.506556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.506778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.507 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.507222 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.507444 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.507667 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.507889 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.508111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.508333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.508556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.508778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.509 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.509222 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.509444 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.509667 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.509889 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.510111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.510333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.510556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.510778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.511 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.511222 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.511444 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.511667 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.511889 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.512111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.512333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.512556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.512778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.513 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.513222 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.513444 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.513667 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.513889 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.514111 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.514333 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.514556 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.514778 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
0.515 100 100 1 1.52173e+07 2.6051e+14 9.64899e+13 0.000222222
